2026-07-25T04:01:52.148305+00:00 | router_decision | {'context': 'classify file: vocal_marole_completion.pdf', 'decided_by': 'local', 'result_preview': 'Documents'}
2026-07-25T04:01:52.148631+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/vocal_marole_completion.pdf', 'destination': '/Users/josephmoore/SORTTEST/sorted/Documents/2026-02/vocal_marole_completion.pdf', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:01:52.151965+00:00 | router_decision | {'context': 'classify file: tony_domenico_vol2.pdf', 'decided_by': 'local', 'result_preview': 'Documents'}
2026-07-25T04:01:52.152289+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/tony_domenico_vol2.pdf', 'destination': '/Users/josephmoore/SORTTEST/sorted/Documents/2026-02/tony_domenico_vol2.pdf', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:01:52.157429+00:00 | router_decision | {'context': 'classify file: tony_domenico_mill_complete.pdf', 'decided_by': 'local', 'result_preview': 'Documents'}
2026-07-25T04:01:52.157621+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/tony_domenico_mill_complete.pdf', 'destination': '/Users/josephmoore/SORTTEST/sorted/Documents/2026-02/tony_domenico_mill_complete.pdf', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:01:52.160528+00:00 | router_decision | {'context': 'classify file: bafkreifob7uldgczh4isqnalej37x7kzvm3u2f4b23kix2ynz4u2dnr54q.jpg', 'decided_by': 'local', 'result_preview': 'Images'}
2026-07-25T04:01:52.160817+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/bafkreifob7uldgczh4isqnalej37x7kzvm3u2f4b23kix2ynz4u2dnr54q.jpg', 'destination': '/Users/josephmoore/SORTTEST/sorted/Images/2026-02/bafkreifob7uldgczh4isqnalej37x7kzvm3u2f4b23kix2ynz4u2dnr54q.jpg', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:01:52.168809+00:00 | router_decision | {'context': 'classify file: Petscop_Complete_Story_1977_2019.pdf', 'decided_by': 'local', 'result_preview': 'Documents'}
2026-07-25T04:01:52.168973+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/Petscop_Complete_Story_1977_2019.pdf', 'destination': '/Users/josephmoore/SORTTEST/sorted/Documents/2026-02/Petscop_Complete_Story_1977_2019.pdf', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:02:25.112192+00:00 | router_decision | {'context': 'classify file: Screenshot 2025-08-23 at 11.41.08 PM.png', 'decided_by': 'local', 'result_preview': 'Images'}
2026-07-25T04:02:25.113235+00:00 | file_processed | {'source': '/Users/josephmoore/SORTTEST/inbox/Screenshot 2025-08-23 at 11.41.08 PM.png', 'destination': '/Users/josephmoore/SORTTEST/sorted/Images/2025-08/Screenshot 2025-08-23 at 11.41.08 PM.png', 'matched': True, 'decided_by': 'local'}
2026-07-25T04:02:25.123968+00:00 | router_decision | {'context': 'classify file: Screenshot 2025-08-23 at 11.40.44 PM.png', 'decided_by': 'local', 'result_preview': 'Images'}
